,B (m),Df (m),L/B,γ (kN/m³),ϕ (°),qlim (kPa)
120,0.61,0.0,1.0,16.1,34.0,268.74
121,0.91,0.0,1.0,16.0,34.0,234.27
122,0.61,0.0,1.0,16.1,34.0,263.37
123,0.3,0.0,1.0,16.0,34.0,233.33
124,0.46,0.0,1.0,14.8,34.0,302.46
125,1.0,1.0,1.0,16.0,39.0,461.0
126,1.0,1.0,1.0,9.1,38.0,386.0
127,1.0,0.0,1.0,16.0,38.0,377.0
128,1.0,0.0,1.0,16.0,38.0,368.0
129,1.0,0.0,1.0,16.0,38.0,335.0
130,1.0,0.0,1.0,16.0,38.0,305.0
131,1.0,0.0,1.0,16.0,38.0,400.0
132,1.0,0.0,1.0,16.0,38.0,296.0
133,1.0,0.0,1.0,16.0,38.0,390.0
134,0.71,0.0,1.0,16.1,40.0,438.41
135,0.71,0.0,1.97,16.1,38.0,352.11
136,0.71,0.0,2.96,16.1,38.0,346.08
137,1.0,0.43,1.0,16.0,38.0,383.0
138,1.0,0.63,1.0,16.0,37.6,433.0
139,1.0,0.0,1.0,16.0,38.0,435.0
140,0.7,1.0,1.0,16.0,40.7,744.9
141,1.0,1.0,1.0,16.0,39.6,450.0
142,1.0,0.0,1.0,16.8,41.0,773.0
143,1.0,0.0,1.0,16.8,41.0,685.0
144,1.0,0.0,1.0,16.8,41.0,560.0
145,1.0,0.0,1.0,16.8,41.0,500.0
146,1.0,0.0,1.0,16.8,41.0,598.0
147,1.0,0.0,1.0,16.8,41.0,584.0
148,1.0,0.0,1.0,16.8,41.5,716.0
149,1.0,0.0,1.0,16.8,41.5,825.0
150,1.0,0.0,1.0,16.8,41.5,922.0
151,1.0,0.0,1.0,16.8,41.0,659.0
152,1.0,0.0,1.0,16.8,41.5,640.0
153,1.0,0.0,1.0,16.8,41.0,626.0
154,0.7,0.0,1.0,16.8,41.2,612.24
155,1.0,0.0,1.0,16.8,41.5,726.0
156,1.0,0.0,1.0,16.8,41.5,927.0
157,0.7,1.0,1.0,16.0,41.2,867.35
158,0.7,1.0,1.0,16.0,41.2,942.86
159,0.7,1.0,1.0,16.0,41.2,973.47
160,0.7,0.2,1.0,16.0,41.2,671.43
161,0.31,0.0,1.0,17.4,45.2,728.41
162,0.31,0.0,1.0,17.4,45.2,801.25
163,0.31,0.0,1.0,17.4,46.3,1373.57
164,0.66,0.0,1.0,20.6,36.2,301.06
165,0.4,0.0,1.0,20.5,38.8,397.89
166,0.45,0.0,1.0,20.0,45.8,953.09
167,0.75,0.0,1.0,20.0,45.0,856.89
168,0.45,0.0,1.0,20.0,44.2,454.32
169,0.75,0.0,1.0,20.0,44.1,1020.44
170,0.3,0.0,1.0,20.0,41.4,422.22
171,0.3,0.0,1.0,20.0,44.8,600.0
172,0.3,0.0,1.0,20.0,45.5,900.0
173,0.25,1.0,1.0,16.0,36.0,1568.0
174,0.5,1.0,1.0,16.0,35.5,1552.0
175,0.61,0.0,1.0,14.6,28.0,94.06
176,0.61,0.3,1.0,14.6,32.7,228.43
177,0.61,0.0,1.0,14.6,35.0,196.18
178,0.91,0.0,1.0,14.6,35.9,324.84
179,0.61,0.0,1.0,14.6,35.9,322.49
180,0.46,0.0,1.0,14.6,35.9,259.92
181,0.4,1.0,1.0,11.8,36.0,978.8
182,1.06,0.0,1.0,18.4,38.0,940.54
183,0.31,0.31,1.0,19.0,36.0,416.23
184,0.61,0.0,1.0,19.0,38.0,258.0
185,0.31,0.31,1.0,19.0,36.0,405.83
186,0.8,0.0,1.0,17.1,41.0,348.44
187,0.63,0.0,1.0,17.1,41.8,365.33
188,0.46,0.0,1.0,17.1,37.7,103.97
189,0.31,0.0,1.0,15.5,38.9,478.67
190,0.31,0.0,1.0,15.5,39.4,478.67
191,0.31,0.3,1.0,20.4,31.2,260.15
192,0.31,0.3,1.0,20.4,30.7,208.12
193,0.31,0.3,1.0,20.4,37.7,489.07
194,0.3,0.0,1.0,20.0,42.3,1277.78
195,1.2,0.0,1.0,20.0,41.5,1129.86
196,0.3,0.3,1.0,20.4,42.3,1344.44
197,0.3,0.0,1.0,20.0,40.8,522.22
198,1.2,0.0,1.0,20.0,42.0,978.47
199,0.3,0.0,1.0,20.0,42.3,811.11
200,0.3,0.0,1.0,20.0,38.9,333.33
201,0.3,0.0,1.0,16.0,36.8,233.33
202,0.61,0.3,1.0,17.3,39.9,706.8
203,0.61,0.3,1.0,17.3,39.9,593.93
204,0.31,0.0,1.0,16.2,40.8,260.15
205,0.76,0.0,1.0,16.2,41.0,744.46
206,0.31,0.0,1.0,16.2,40.8,468.26
